,market,name,region,subregion,languages_dict,languages
167,NOR,Norway,Europe,Northern Europe,"[{'iso639_1': 'no', 'iso639_2': 'nor', 'name': 'Norwegian', 'nativeName': 'Norsk'}, {'iso639_1': 'nb', 'iso639_2': 'nob', 'name': 'Norwegian Bokmål', 'nativeName': 'Norsk bokmål'}, {'iso639_1': 'nn', 'iso639_2': 'nno', 'name': 'Norwegian Nynorsk', 'nativeName': 'Norsk nynorsk'}]",Norwegian;Norwegian Bokmål;Norwegian Nynorsk
168,OMN,Oman,Asia,Western Asia,"[{'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",Arabic
169,PAK,Pakistan,Asia,Southern Asia,"[{'iso639_1': 'ur', 'iso639_2': 'urd', 'name': 'Urdu', 'nativeName': 'اردو'}, {'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",Urdu;English
170,PLW,Palau,Oceania,Micronesia,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
171,PSE,"Palestine, State of",Asia,Western Asia,"[{'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",Arabic
172,PAN,Panama,Americas,Central America,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
173,PNG,Papua New Guinea,Oceania,Melanesia,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
174,PRY,Paraguay,Americas,South America,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}, {'iso639_1': 'gn', 'iso639_2': 'grn', 'name': 'Guaraní', 'nativeName': ""Avañe'ẽ""}]",Spanish;Guaraní
175,PER,Peru,Americas,South America,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
176,PHL,Philippines,Asia,South-Eastern Asia,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
177,PCN,Pitcairn,Oceania,Polynesia,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
178,POL,Poland,Europe,Central Europe,"[{'iso639_1': 'pl', 'iso639_2': 'pol', 'name': 'Polish', 'nativeName': 'język polski'}]",Polish
179,PRT,Portugal,Europe,Southern Europe,"[{'iso639_1': 'pt', 'iso639_2': 'por', 'name': 'Portuguese', 'nativeName': 'Português'}]",Portuguese
180,PRI,Puerto Rico,Americas,Caribbean,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}, {'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",Spanish;English
181,QAT,Qatar,Asia,Western Asia,"[{'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",Arabic
182,UNK,Republic of Kosovo,Europe,Eastern Europe,"[{'iso639_1': 'sq', 'iso639_2': 'sqi', 'name': 'Albanian', 'nativeName': 'Shqip'}, {'iso639_1': 'sr', 'iso639_2': 'srp', 'name': 'Serbian', 'nativeName': 'српски језик'}]",Albanian;Serbian
183,REU,Réunion,Africa,Eastern Africa,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}]",French
184,ROU,Romania,Europe,Eastern Europe,"[{'iso639_1': 'ro', 'iso639_2': 'ron', 'name': 'Romanian', 'nativeName': 'Română'}]",Romanian
185,RUS,Russian Federation,Europe,Eastern Europe,"[{'iso639_1': 'ru', 'iso639_2': 'rus', 'name': 'Russian', 'nativeName': 'Русский'}]",Russian
186,RWA,Rwanda,Africa,Eastern Africa,"[{'iso639_1': 'rw', 'iso639_2': 'kin', 'name': 'Kinyarwanda', 'nativeName': 'Ikinyarwanda'}, {'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}]",Kinyarwanda;English;French
187,BLM,Saint Barthélemy,Americas,Caribbean,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}]",French
188,SHN,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
189,KNA,Saint Kitts and Nevis,Americas,Caribbean,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
190,LCA,Saint Lucia,Americas,Caribbean,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
191,MAF,Saint Martin (French part),Americas,Caribbean,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}, {'iso639_1': 'nl', 'iso639_2': 'nld', 'name': 'Dutch', 'nativeName': 'Nederlands'}]",English;French;Dutch
192,SPM,Saint Pierre and Miquelon,Americas,Northern America,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}]",French
193,VCT,Saint Vincent and the Grenadines,Americas,Caribbean,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
194,WSM,Samoa,Oceania,Polynesia,"[{'iso639_1': 'sm', 'iso639_2': 'smo', 'name': 'Samoan', 'nativeName': ""gagana fa'a Samoa""}, {'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",Samoan;English
195,SMR,San Marino,Europe,Southern Europe,"[{'iso639_1': 'it', 'iso639_2': 'ita', 'name': 'Italian', 'nativeName': 'Italiano'}]",Italian
196,STP,Sao Tome and Principe,Africa,Middle Africa,"[{'iso639_1': 'pt', 'iso639_2': 'por', 'name': 'Portuguese', 'nativeName': 'Português'}]",Portuguese
197,SAU,Saudi Arabia,Asia,Western Asia,"[{'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",Arabic
198,SEN,Senegal,Africa,Western Africa,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}]",French
199,SRB,Serbia,Europe,Southern Europe,"[{'iso639_1': 'sr', 'iso639_2': 'srp', 'name': 'Serbian', 'nativeName': 'српски језик'}]",Serbian
200,SYC,Seychelles,Africa,Eastern Africa,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}, {'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",French;English
201,SLE,Sierra Leone,Africa,Western Africa,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
202,SGP,Singapore,Asia,South-Eastern Asia,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'ms', 'iso639_2': 'msa', 'name': 'Malay', 'nativeName': 'bahasa Melayu'}, {'iso639_1': 'ta', 'iso639_2': 'tam', 'name': 'Tamil', 'nativeName': 'தமிழ்'}, {'iso639_1': 'zh', 'iso639_2': 'zho', 'name': 'Chinese', 'nativeName': '中文 (Zhōngwén)'}]",English;Malay;Tamil;Chinese
203,SXM,Sint Maarten (Dutch part),Americas,Caribbean,"[{'iso639_1': 'nl', 'iso639_2': 'nld', 'name': 'Dutch', 'nativeName': 'Nederlands'}, {'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",Dutch;English
204,SVK,Slovakia,Europe,Central Europe,"[{'iso639_1': 'sk', 'iso639_2': 'slk', 'name': 'Slovak', 'nativeName': 'slovenčina'}]",Slovak
205,SVN,Slovenia,Europe,Southern Europe,"[{'iso639_1': 'sl', 'iso639_2': 'slv', 'name': 'Slovene', 'nativeName': 'slovenski jezik'}]",Slovene
206,SLB,Solomon Islands,Oceania,Melanesia,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
207,SOM,Somalia,Africa,Eastern Africa,"[{'iso639_1': 'so', 'iso639_2': 'som', 'name': 'Somali', 'nativeName': 'Soomaaliga'}, {'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",Somali;Arabic
208,ZAF,South Africa,Africa,Southern Africa,"[{'iso639_1': 'af', 'iso639_2': 'afr', 'name': 'Afrikaans', 'nativeName': 'Afrikaans'}, {'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'nr', 'iso639_2': 'nbl', 'name': 'Southern Ndebele', 'nativeName': 'isiNdebele'}, {'iso639_1': 'st', 'iso639_2': 'sot', 'name': 'Southern Sotho', 'nativeName': 'Sesotho'}, {'iso639_1': 'ss', 'iso639_2': 'ssw', 'name': 'Swati', 'nativeName': 'SiSwati'}, {'iso639_1': 'tn', 'iso639_2': 'tsn', 'name': 'Tswana', 'nativeName': 'Setswana'}, {'iso639_1': 'ts', 'iso639_2': 'tso', 'name': 'Tsonga', 'nativeName': 'Xitsonga'}, {'iso639_1': 've', 'iso639_2': 'ven', 'name': 'Venda', 'nativeName': 'Tshivenḓa'}, {'iso639_1': 'xh', 'iso639_2': 'xho', 'name': 'Xhosa', 'nativeName': 'isiXhosa'}, {'iso639_1': 'zu', 'iso639_2': 'zul', 'name': 'Zulu', 'nativeName': 'isiZulu'}]",Afrikaans;English;Southern Ndebele;Southern Sotho;Swati;Tswana;Tsonga;Venda;Xhosa;Zulu
209,SGS,South Georgia and the South Sandwich Islands,Americas,South America,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
210,KOR,Korea (Republic of),Asia,Eastern Asia,"[{'iso639_1': 'ko', 'iso639_2': 'kor', 'name': 'Korean', 'nativeName': '한국어'}]",Korean
211,ESP,Spain,Europe,Southern Europe,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
212,LKA,Sri Lanka,Asia,Southern Asia,"[{'iso639_1': 'si', 'iso639_2': 'sin', 'name': 'Sinhalese', 'nativeName': 'සිංහල'}, {'iso639_1': 'ta', 'iso639_2': 'tam', 'name': 'Tamil', 'nativeName': 'தமிழ்'}]",Sinhalese;Tamil
213,SDN,Sudan,Africa,Northern Africa,"[{'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}, {'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",Arabic;English
214,SSD,South Sudan,Africa,Middle Africa,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
215,SUR,Suriname,Americas,South America,"[{'iso639_1': 'nl', 'iso639_2': 'nld', 'name': 'Dutch', 'nativeName': 'Nederlands'}]",Dutch
216,SJM,Svalbard and Jan Mayen,Europe,Northern Europe,"[{'iso639_1': 'no', 'iso639_2': 'nor', 'name': 'Norwegian', 'nativeName': 'Norsk'}]",Norwegian
217,SWZ,Swaziland,Africa,Southern Africa,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'ss', 'iso639_2': 'ssw', 'name': 'Swati', 'nativeName': 'SiSwati'}]",English;Swati
218,SWE,Sweden,Europe,Northern Europe,"[{'iso639_1': 'sv', 'iso639_2': 'swe', 'name': 'Swedish', 'nativeName': 'svenska'}]",Swedish
219,CHE,Switzerland,Europe,Central Europe,"[{'iso639_1': 'de', 'iso639_2': 'deu', 'name': 'German', 'nativeName': 'Deutsch'}, {'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}, {'iso639_1': 'it', 'iso639_2': 'ita', 'name': 'Italian', 'nativeName': 'Italiano'}, {'iso639_2': 'roh', 'name': 'Romansh'}]",German;French;Italian;Romansh
220,SYR,Syrian Arab Republic,Asia,Western Asia,"[{'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",Arabic
221,TWN,Taiwan,Asia,Eastern Asia,"[{'iso639_1': 'zh', 'iso639_2': 'zho', 'name': 'Chinese', 'nativeName': '中文 (Zhōngwén)'}]",Chinese
222,TJK,Tajikistan,Asia,Central Asia,"[{'iso639_1': 'tg', 'iso639_2': 'tgk', 'name': 'Tajik', 'nativeName': 'тоҷикӣ'}, {'iso639_1': 'ru', 'iso639_2': 'rus', 'name': 'Russian', 'nativeName': 'Русский'}]",Tajik;Russian
223,TZA,"Tanzania, United Republic of",Africa,Eastern Africa,"[{'iso639_1': 'sw', 'iso639_2': 'swa', 'name': 'Swahili', 'nativeName': 'Kiswahili'}, {'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",Swahili;English
224,THA,Thailand,Asia,South-Eastern Asia,"[{'iso639_1': 'th', 'iso639_2': 'tha', 'name': 'Thai', 'nativeName': 'ไทย'}]",Thai
225,TLS,Timor-Leste,Asia,South-Eastern Asia,"[{'iso639_1': 'pt', 'iso639_2': 'por', 'name': 'Portuguese', 'nativeName': 'Português'}]",Portuguese
226,TGO,Togo,Africa,Western Africa,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}]",French
227,TKL,Tokelau,Oceania,Polynesia,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
228,TON,Tonga,Oceania,Polynesia,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'to', 'iso639_2': 'ton', 'name': 'Tonga (Tonga Islands)', 'nativeName': 'faka Tonga'}]",English;Tonga (Tonga Islands)
229,TTO,Trinidad and Tobago,Americas,Caribbean,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
230,TUN,Tunisia,Africa,Northern Africa,"[{'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",Arabic
231,TUR,Turkey,Asia,Western Asia,"[{'iso639_1': 'tr', 'iso639_2': 'tur', 'name': 'Turkish', 'nativeName': 'Türkçe'}]",Turkish
232,TKM,Turkmenistan,Asia,Central Asia,"[{'iso639_1': 'tk', 'iso639_2': 'tuk', 'name': 'Turkmen', 'nativeName': 'Türkmen'}, {'iso639_1': 'ru', 'iso639_2': 'rus', 'name': 'Russian', 'nativeName': 'Русский'}]",Turkmen;Russian
233,TCA,Turks and Caicos Islands,Americas,Caribbean,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
234,TUV,Tuvalu,Oceania,Polynesia,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
235,UGA,Uganda,Africa,Eastern Africa,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'sw', 'iso639_2': 'swa', 'name': 'Swahili', 'nativeName': 'Kiswahili'}]",English;Swahili
236,UKR,Ukraine,Europe,Eastern Europe,"[{'iso639_1': 'uk', 'iso639_2': 'ukr', 'name': 'Ukrainian', 'nativeName': 'Українська'}]",Ukrainian
237,ARE,United Arab Emirates,Asia,Western Asia,"[{'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",Arabic
238,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
239,USA,United States of America,Americas,Northern America,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
240,URY,Uruguay,Americas,South America,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
241,UZB,Uzbekistan,Asia,Central Asia,"[{'iso639_1': 'uz', 'iso639_2': 'uzb', 'name': 'Uzbek', 'nativeName': 'Oʻzbek'}, {'iso639_1': 'ru', 'iso639_2': 'rus', 'name': 'Russian', 'nativeName': 'Русский'}]",Uzbek;Russian
242,VUT,Vanuatu,Oceania,Melanesia,"[{'iso639_1': 'bi', 'iso639_2': 'bis', 'name': 'Bislama', 'nativeName': 'Bislama'}, {'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}]",Bislama;English;French
243,VEN,Venezuela (Bolivarian Republic of),Americas,South America,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
244,VNM,Vietnam,Asia,South-Eastern Asia,"[{'iso639_1': 'vi', 'iso639_2': 'vie', 'name': 'Vietnamese', 'nativeName': 'Tiếng Việt'}]",Vietnamese
245,WLF,Wallis and Futuna,Oceania,Polynesia,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}]",French
246,ESH,Western Sahara,Africa,Northern Africa,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
247,YEM,Yemen,Asia,Western Asia,"[{'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",Arabic
248,ZMB,Zambia,Africa,Eastern Africa,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
249,ZWE,Zimbabwe,Africa,Southern Africa,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'sn', 'iso639_2': 'sna', 'name': 'Shona', 'nativeName': 'chiShona'}, {'iso639_1': 'nd', 'iso639_2': 'nde', 'name': 'Northern Ndebele', 'nativeName': 'isiNdebele'}]",English;Shona;Northern Ndebele
